"geometry","file","degree","betweenness","closeness","component"
c(0.358713, 0.922914),"C5_010_calculations.json",1,0,1,10
c(0.403112, 0.915495),"C5_010_calculations.json",1,0,1,11
c(0.392068, 0.913153),"C5_010_calculations.json",1,0,1,11
c(0.366466, 0.910643),"C5_010_calculations.json",1,0,1,12
c(0.357681, 0.904869),"C5_010_calculations.json",1,0,1,12
c(0.626506, 0.88253),"C5_010_calculations.json",1,0,1,13
c(0.633534, 0.852912),"C5_010_calculations.json",1,0,1,13
c(0.311747, 0.85492),"C5_010_calculations.json",1,0,0.2,1
c(0.317699, 0.814257),"C5_010_calculations.json",3,3,0.333333333333333,1
c(0.320281, 0.825301),"C5_010_calculations.json",1,0,0.2,1
c(0.388931, 0.846135),"C5_010_calculations.json",1,0,1,14
c(0.391817, 0.836847),"C5_010_calculations.json",1,0,1,14
c(0.488788, 0.839692),"C5_010_calculations.json",1,0,1,15
c(0.485442, 0.833835),"C5_010_calculations.json",1,0,1,15
c(0.125669, 0.833501),"C5_010_calculations.json",1,0,1,16
c(0.130773, 0.830823),"C5_010_calculations.json",1,0,1,16
c(0.666667, 0.815261),"C5_010_calculations.json",1,0,1,17
c(0.677711, 0.807229),"C5_010_calculations.json",1,0,1,17
c(0.311245, 0.802711),"C5_010_calculations.json",1,0,0.2,1
c(0.671185, 0.808735),"C5_010_calculations.json",1,0,1,18
c(0.683233, 0.793675),"C5_010_calculations.json",1,0,1,18
c(0.715361, 0.796185),"C5_010_calculations.json",1,0,1,19
c(0.72741, 0.788655),"C5_010_calculations.json",1,0,1,19
c(0.876506, 0.788822),"C5_010_calculations.json",1,0,1,20
c(0.895582, 0.783635),"C5_010_calculations.json",1,0,1,20
c(0.314257, 0.794679),"C5_010_calculations.json",1,0,1,21
c(0.318775, 0.786647),"C5_010_calculations.json",1,0,1,21
c(0.290161, 0.792671),"C5_010_calculations.json",1,0,1,22
c(0.279116, 0.777108),"C5_010_calculations.json",1,0,1,22
c(0.305723, 0.783133),"C5_010_calculations.json",1,0,1,23
c(0.293675, 0.777861),"C5_010_calculations.json",1,0,1,23
