name,value,lineIndex,clusterIndex
averageLineLength,0.029059688521252274,,43
averageLineLength,0.019538363091907773,,44
averageLineLength,0.02184140227145268,,45
averageLineLength,0.016322002354996937,,46
averageLineLength,0.011000036024938318,,47
averageLineLength,0.01543071211030038,,48
averageLineLength,0.02923596845211165,,49
averageLineLength,0.018277465037713356,,50
averageLineLength,0.02099213686354233,,51
averageLineLength,0.03445889934716141,,52
averageLineLength,0.020222156282592052,,53
averageLineLength,0.022573256174106368,,54
averageLineLength,0.015834570663128274,,55
averageLineLength,0.0462810093719799,,56
averageLineLength,0.016523950121206357,,57
averageLineLength,0.028742012494741453,,58
averageLineLength,0.0280999987880716,,59
averageLineLength,0.014279322140224121,,60
averageLineLength,0.012251083270550767,,61
sinuosity,1.0,0,
sinuosity,1.0,1,
sinuosity,1.0,2,
sinuosity,1.055655536393454,3,
sinuosity,1.0,4,
sinuosity,1.0828776630189092,5,
sinuosity,1.0,6,
sinuosity,1.0,7,
sinuosity,1.0024473840918615,8,
sinuosity,1.0,9,
sinuosity,1.158101410438611,10,
sinuosity,1.0013729369187716,11,
sinuosity,1.0025372885736898,12,
sinuosity,1.0407742736736185,13,
sinuosity,1.0,14,
sinuosity,1.0,15,
sinuosity,1.0,16,
sinuosity,1.2560757672493046,17,
sinuosity,1.0,18,
sinuosity,1.0,19,
sinuosity,1.0,20,
sinuosity,1.0,21,
sinuosity,1.0,22,
sinuosity,1.0,23,
sinuosity,1.0371843791937034,24,
sinuosity,1.0,25,
sinuosity,1.1081941777126578,26,
sinuosity,1.2456758128138383,27,
sinuosity,1.0,28,
sinuosity,1.2350065711096172,29,
sinuosity,1.0,30,
sinuosity,1.0,31,
sinuosity,1.0,32,
sinuosity,1.0,33,
sinuosity,1.006253490908697,34,
sinuosity,1.0,35,
sinuosity,1.187801059792919,36,
sinuosity,1.0415157445013685,37,
sinuosity,1.1633310182130636,38,
sinuosity,1.0,39,
sinuosity,1.0,40,
sinuosity,1.0,41,
sinuosity,1.0,42,
sinuosity,1.0,43,
sinuosity,1.051070633504383,44,
sinuosity,1.0,45,
sinuosity,1.0,46,
sinuosity,1.7626027174880483,47,
sinuosity,1.0,48,
sinuosity,1.0,49,
sinuosity,1.0341136295214546,50,
sinuosity,1.0,51,
sinuosity,1.055856500254621,52,
sinuosity,1.0160536195611196,53,
sinuosity,1.3290254120099332,54,
sinuosity,1.020486919837677,55,
sinuosity,1.0202051413954096,56,
sinuosity,1.0103996927368741,57,
sinuosity,1.0329988681720315,58,
sinuosity,1.0118052781974818,59,
sinuosity,1.0,60,
sinuosity,1.0,61,
sinuosity,1.0146254916414528,62,
sinuosity,1.0,63,
sinuosity,1.043205349518537,64,
sinuosity,1.040748454436867,65,
sinuosity,1.0,66,
sinuosity,1.265395766694904,67,
sinuosity,1.06888420305766,68,
sinuosity,1.010781337864456,69,
sinuosity,1.0065358302901322,70,
sinuosity,1.0167046530496133,71,
sinuosity,1.0000965441144427,72,
sinuosity,1.0222001211321126,73,
sinuosity,1.0567336572224622,74,
sinuosity,1.0004237720007456,75,
sinuosity,1.12490134811254,76,
sinuosity,1.0295498850254734,77,
sinuosity,1.0,78,
sinuosity,1.0,79,
sinuosity,1.1310729464220404,80,
sinuosity,1.0,81,
sinuosity,1.0,82,
sinuosity,1.0390031477284272,83,
sinuosity,1.0,84,
sinuosity,1.0,85,
sinuosity,1.0858800993204647,86,
sinuosity,1.0,87,
sinuosity,1.0,88,
sinuosity,1.0,89,
sinuosity,1.035855881258454,90,
sinuosity,1.3722065459742983,91,
sinuosity,1.0,92,
sinuosity,1.0310322246839336,93,
sinuosity,1.0648473593828225,94,
sinuosity,1.0024015949251754,95,
sinuosity,1.0,96,
sinuosity,1.0185421789048144,97,
sinuosity,1.0,98,
sinuosity,1.0,99,
sinuosity,1.0065848996289006,100,
sinuosity,1.0,101,
sinuosity,1.0209052059121941,102,
sinuosity,1.05371369099231,103,
sinuosity,1.0,104,
sinuosity,1.0088182165534538,105,
sinuosity,1.0107626930439835,106,
sinuosity,1.0,107,
sinuosity,1.007971291602536,108,
sinuosity,1.0,109,
sinuosity,1.0,110,
sinuosity,1.0907208091262217,111,
sinuosity,1.0,112,
sinuosity,1.0,113,
sinuosity,1.01252948134623,114,
sinuosity,1.1168842518597468,115,
sinuosity,1.0,116,
sinuosity,1.0,117,
sinuosity,1.0,118,
sinuosity,1.1115423089168974,119,
sinuosity,1.0,120,
sinuosity,1.0,121,
sinuosity,1.0,122,
sinuosity,1.0,123,
