"geometry","file","degree","betweenness","closeness","component"
c(0.32095, 0.102744),"C5_011_calculations.json",1,0,1,21
c(0.309613, 0.104041),"C5_011_calculations.json",1,0,1,21
c(0.318608, 0.095047),"C5_011_calculations.json",3,0,1,22
c(0.308233, 0.093876),"C5_011_calculations.json",1,0,1,22
c(0.180221, 0.093373),"C5_011_calculations.json",1,0,0.2,12
c(0.19358, 0.080907),"C5_011_calculations.json",3,3,0.333333333333333,12
c(0.179719, 0.087851),"C5_011_calculations.json",1,0,0.2,12
c(0.199799, 0.065763),"C5_011_calculations.json",1,0,0.2,12
c(0.316265, 0.80246),"C5_011_calculations.json",1,0,1,23
c(0.378179, 0.793675),"C5_011_calculations.json",1,0,1,23
c(0.396419, 0.795181),"C5_011_calculations.json",1,0,1,24
c(0.420683, 0.794177),"C5_011_calculations.json",1,0,1,24
c(0.906376, 0.713353),"C5_011_calculations.json",1,0,1,25
c(0.935241, 0.739458),"C5_011_calculations.json",1,0,1,25
c(0.862952, 0.706325),"C5_011_calculations.json",1,0,0.142857142857143,5
c(0.792169, 0.708835),"C5_011_calculations.json",1,0,0.142857142857143,5
c(0.863705, 0.653865),"C5_011_calculations.json",1,0,0.2,9
c(0.883534, 0.626004),"C5_011_calculations.json",1,0,0.2,10
c(0.846386, 0.565261),"C5_011_calculations.json",1,0,0.2,10
c(0.421787, 0.476004),"C5_011_calculations.json",1,0,1,26
c(0.375753, 0.470131),"C5_011_calculations.json",1,0,1,26
c(0.404116, 0.39508),"C5_011_calculations.json",1,0,0.2,11
c(0.404284, 0.3166),"C5_011_calculations.json",1,0,0.2,11
c(0.939759, 0.318524),"C5_011_calculations.json",1,0,1,27
c(0.921185, 0.310241),"C5_011_calculations.json",1,0,1,27
c(0.966365, 0.264558),"C5_011_calculations.json",1,0,0.0909090909090909,4
c(0.972139, 0.263303),"C5_011_calculations.json",1,0,0.142857142857143,6
c(0.962851, 0.207831),"C5_011_calculations.json",1,0,0.0909090909090909,4
c(0.378514, 0.24247),"C5_011_calculations.json",1,0,1,28
c(0.334086, 0.238705),"C5_011_calculations.json",1,0,1,28
c(0.088353, 0.207329),"C5_011_calculations.json",1,0,1,29
c(0.116466, 0.193775),"C5_011_calculations.json",1,0,1,29
c(0.139056, 0.201951),"C5_011_calculations.json",1,0,0.0588235294117647,3
c(0.138052, 0.149598),"C5_011_calculations.json",1,0,0.0178571428571429,1
c(0.280455, 0.118474),"C5_011_calculations.json",3,41,0.0384615384615385,1
c(0.285643, 0.062249),"C5_011_calculations.json",1,0,0.027027027027027,1
c(0.326305, 0.133534),"C5_011_calculations.json",1,0,0.0222222222222222,1
c(0.314257, 0.153363),"C5_011_calculations.json",1,0,0.0476190476190476,2
c(0.327309, 0.14759),"C5_011_calculations.json",1,0,1,30
